time,a1,a2,a3,a4,a5,a6,a7,a8
2,6,4,9,9,8,9,3,1
2,6,5,9,9,8,9,3,1
3,7,6,9,9,9,9,3,1
2,6,5,9,9,8,9,3,1
2,7,5,9,9,8,9,3,1
3,7,5,9,9,9,9,3,1
3,7,6,9,9,9,9,4,1
3,7,6,9,9,9,9,4,2
3,8,6,9,9,9,9,4,2
3,8,6,9,9,9,9,4,2
4,8,7,9,9,9,9,4,2
2,7,5,9,9,8,9,3,1
2,6,5,9,9,8,9,4,1
2,7,6,9,9,9,9,4,2
2,7,6,9,9,9,9,4,2
2,7,6,9,9,9,9,4,1
2,7,6,9,9,9,9,4,2
2,5,4,9,9,8,9,3,1
2,7,5,9,9,8,9,3,1
2,7,6,9,9,9,9,4,2
2,7,6,9,9,9,9,4,2
3,8,6,9,9,9,9,4,2
3,8,6,9,9,9,9,4,1
2,7,6,9,9,9,9,4,2
2,6,5,9,9,8,9,3,1
2,6,5,9,9,8,9,3,1
2,7,6,9,9,9,9,4,1
4,8,7,9,9,9,9,4,2
2,6,5,9,9,8,9,3,1
3,7,6,9,9,9,9,4,2
3,8,7,9,9,9,9,4,2
3,8,7,9,9,9,9,4,2
4,8,7,9,9,9,9,4,2
2,6,5,9,9,8,9,3,1
2,7,6,9,9,9,9,4,1
2,7,6,9,9,9,9,4,2
2,7,5,9,9,8,9,3,1
2,6,5,9,9,8,9,3,1
3,7,6,9,9,9,9,4,2
3,7,6,9,9,9,9,4,3
2,7,5,9,9,9,9,3,1
2,7,6,9,9,9,9,4,2
2,7,6,9,9,9,9,4,1
2,5,4,9,9,8,9,3,1
2,6,5,9,9,8,9,3,1
3,8,7,9,9,9,9,4,2
2,7,6,9,9,9,9,4,2
2,5,4,9,9,8,9,3,1
2,6,5,9,9,8,9,3,1
2,6,5,9,9,8,9,3,1
2,7,5,9,9,8,9,3,1
4,8,7,9,9,9,9,4,2
3,7,5,9,9,8,9,3,1
3,7,6,9,9,9,9,4,2
2,7,6,9,9,9,9,4,1
4,8,7,9,9,9,9,4,2
2,6,5,9,9,8,9,3,1
2,7,6,9,9,9,9,4,2
3,8,7,9,9,9,9,4,2
3,8,6,9,9,9,9,4,2
3,7,6,9,9,9,9,4,1
3,8,6,9,9,9,9,4,2
3,7,5,9,9,8,9,3,1
3,8,6,9,9,9,9,4,2
3,7,6,9,9,9,9,3,1
2,6,5,9,9,8,9,3,1
3,8,6,9,9,9,9,4,2
4,8,7,9,9,9,9,4,2
3,8,6,9,9,9,9,4,2
3,7,6,9,9,9,9,4,2
2,7,5,9,9,8,9,3,1
2,6,5,9,9,8,9,3,1
2,7,5,9,9,8,9,3,1
2,6,5,9,9,8,9,3,1
4,8,7,9,9,9,9,4,2
3,7,6,9,9,9,9,4,2
3,8,6,9,9,9,9,4,1
2,6,5,9,9,8,9,3,1
3,8,6,9,9,9,9,4,1
2,7,5,9,9,8,9,3,1
3,7,6,9,9,9,9,3,1
2,6,5,9,9,8,9,3,1
3,8,6,9,9,9,9,4,1
3,8,6,9,9,9,9,4,2
2,6,5,9,9,8,9,3,1
2,6,5,9,9,8,9,3,1
2,6,5,9,9,8,9,3,1
3,8,6,9,9,9,9,4,2
3,7,6,9,9,9,9,4,1
2,6,5,9,9,8,9,3,1
3,8,6,9,9,9,9,4,2
3,7,6,9,9,9,9,4,2
4,8,7,9,9,9,9,4,2
3,8,6,9,9,9,9,4,1
2,7,5,9,9,8,9,3,1
3,7,6,9,9,9,9,4,2
2,6,4,9,9,8,9,3,1
3,7,6,9,9,9,9,4,1
3,8,7,9,9,9,9,4,2
3,8,7,9,9,9,9,4,2
4,8,7,9,9,9,9,4,2
3,7,6,9,9,9,9,4,3
2,6,5,9,9,8,9,3,1
2,7,6,9,9,9,9,4,2
3,7,6,9,9,9,9,4,2
2,6,4,9,9,8,9,3,1
2,7,6,9,9,9,9,4,2
2,6,5,9,9,8,9,3,1
2,5,4,9,9,8,9,3,1
3,8,6,9,9,9,9,4,2
2,5,4,9,9,8,9,3,1
3,8,6,9,9,9,9,4,1
3,8,7,9,9,9,9,4,2
4,8,7,9,9,9,9,4,2
3,8,7,9,9,9,9,4,2
2,6,5,9,9,8,9,3,1
2,6,5,9,9,8,9,3,1
3,7,6,9,9,9,9,4,2
2,7,6,9,9,9,9,4,1
4,8,7,9,9,9,9,4,2
4,8,7,9,9,9,9,4,2
4,8,7,9,9,9,9,4,2
2,6,5,9,9,8,9,3,1
4,8,7,9,9,9,9,4,2
2,6,5,9,9,8,9,3,1
3,8,6,9,9,9,9,4,1
2,6,5,9,9,8,9,3,1
3,7,6,9,9,9,9,4,2
3,8,6,9,9,9,9,4,2
2,7,6,9,9,9,9,4,2
3,7,6,9,9,9,9,4,1
2,6,5,9,9,8,9,3,1
2,6,5,9,9,8,9,3,1
2,6,5,9,9,8,9,3,1
3,7,6,9,9,9,9,4,1
2,6,5,9,9,8,9,3,1
2,7,5,9,9,8,9,3,1
2,7,6,9,9,9,9,4,2
3,8,6,9,9,9,9,4,1
3,8,6,9,9,9,9,4,2
3,8,6,9,9,9,9,4,2
2,6,5,9,9,8,9,3,1
4,8,7,9,9,9,9,4,2
3,8,6,9,9,9,9,4,2
2,7,6,9,9,9,9,4,2
3,8,7,9,9,9,9,4,2
3,7,6,9,9,9,9,4,1
4,8,7,9,9,9,9,4,2
3,8,6,9,9,9,9,4,2
4,8,7,9,9,9,9,4,2
2,6,5,9,9,8,9,3,1
2,7,5,9,9,8,9,3,1
2,5,4,9,9,8,9,3,1
3,7,6,9,9,9,9,4,1
2,5,4,9,9,8,9,3,1
2,6,5,9,9,8,9,4,2
3,7,6,9,9,9,9,4,1
2,7,6,9,9,9,9,4,1
3,8,7,9,9,9,9,4,2
2,7,6,9,9,9,9,4,2
3,7,6,9,9,9,9,4,3
3,7,5,9,9,9,9,3,1
3,8,6,9,9,9,9,4,2
3,7,6,9,9,9,9,4,1
4,8,7,9,9,9,9,4,2
4,8,7,9,9,9,9,4,2
2,7,5,9,9,8,9,4,2
2,6,5,9,9,8,9,3,1
2,5,4,9,9,8,9,3,1
2,7,6,9,9,9,9,4,3
3,8,7,9,9,9,9,4,2
2,7,6,9,9,9,9,4,2
2,7,6,9,9,9,9,4,2
3,8,6,9,9,9,9,4,2
2,7,5,9,9,9,9,3,1
4,8,7,9,9,9,9,4,2
4,8,7,9,9,9,9,4,2
2,5,4,9,9,8,9,3,1
2,7,6,9,9,9,9,4,1
2,7,6,9,9,9,9,4,2
2,6,5,9,9,8,9,3,1
2,6,5,9,9,8,9,3,1
3,8,6,9,9,9,9,4,2
3,7,5,9,9,9,9,3,1
2,7,5,9,9,8,9,3,1
4,8,7,9,9,9,9,4,2
3,8,7,9,9,9,9,4,2
3,8,6,9,9,9,9,4,2
4,8,7,9,9,9,9,4,2
3,8,6,9,9,9,9,4,2
3,8,6,9,9,9,9,4,2
2,6,5,9,9,8,9,3,1
3,8,7,9,9,9,9,4,2
3,7,6,9,9,9,9,4,2
2,6,5,9,9,8,9,3,1
2,7,6,9,9,9,9,4,1
3,7,5,9,9,8,9,3,1
3,7,6,9,9,9,9,4,1
2,7,5,9,9,8,9,3,1
3,7,5,9,9,8,9,3,1
3,7,5,9,9,8,9,3,1
4,8,7,9,9,9,9,4,2
3,7,6,9,9,9,9,4,1
2,6,5,9,9,8,9,3,1
3,8,6,9,9,9,9,4,2
2,5,4,9,9,8,9,3,1
3,8,6,9,9,9,9,4,2
2,7,6,9,9,9,9,4,2
2,6,5,9,9,8,9,3,1
2,7,6,9,9,9,9,4,2
2,6,5,9,9,8,9,3,1
3,7,5,9,9,8,9,3,1
2,5,4,9,9,8,9,3,1
2,6,5,9,9,8,9,3,1
3,7,6,9,9,9,9,4,1
2,6,5,9,9,8,9,3,1
2,7,6,9,9,9,9,4,2
3,8,7,9,9,9,9,4,2
3,7,5,9,9,9,9,3,1
3,7,6,9,9,9,9,4,3
2,7,6,9,9,9,9,4,2
2,6,5,9,9,8,9,4,1
2,6,5,9,9,8,9,3,1
3,7,6,9,9,9,9,4,3
2,6,5,9,9,8,9,3,1
3,8,6,9,9,9,9,4,2
3,7,6,9,9,9,9,4,3
2,6,5,9,9,8,9,3,1
2,7,6,9,9,9,9,4,2
3,8,6,9,9,9,9,4,2
2,6,5,9,9,8,9,4,1
3,7,6,9,9,9,9,4,2
3,8,6,9,9,9,9,4,1
3,7,6,9,9,9,9,4,1
2,5,4,9,9,8,9,3,1
2,7,6,9,9,9,9,4,2
2,7,6,9,9,9,9,4,2
2,6,5,9,9,8,9,3,1
2,7,5,9,9,9,9,3,1
2,7,6,9,9,9,9,4,1
2,6,5,9,9,8,9,3,1
3,7,6,9,9,9,9,4,2
4,8,7,9,9,9,9,4,2
2,6,5,9,9,8,9,3,1
2,7,6,9,9,9,9,4,3
2,6,5,9,9,8,9,3,1
2,7,5,9,9,9,9,3,1
3,8,6,9,9,9,9,4,2
3,8,7,9,9,9,9,4,2
3,8,6,9,9,9,9,4,2
2,6,5,9,9,8,9,3,1
3,7,5,9,9,8,9,3,1
4,8,7,9,9,9,9,4,2
2,7,6,9,9,9,9,4,1
2,6,5,9,9,8,9,3,1
3,8,6,9,9,9,9,4,1
3,7,6,9,9,9,9,4,1
3,7,6,9,9,9,9,4,2
4,8,7,9,9,9,9,4,2
3,8,6,9,9,9,9,4,1
2,6,5,9,9,8,9,3,1
2,6,4,9,9,8,9,3,1
2,6,5,9,9,8,9,3,1
2,6,4,9,9,8,9,3,1
2,6,5,9,9,8,9,3,1
2,7,6,9,9,9,9,4,2
2,6,5,9,9,8,9,3,1
3,8,7,9,9,9,9,4,2
2,6,5,9,9,8,9,3,1
2,6,5,9,9,8,9,3,1
3,8,6,9,9,9,9,4,2
2,7,5,9,9,8,9,3,1
3,8,6,9,9,9,9,4,2
4,8,7,9,9,9,9,4,2
2,7,6,9,9,9,9,4,1
3,8,6,9,9,9,9,4,2
2,7,6,9,9,9,9,4,1
3,8,6,9,9,9,9,4,1
2,7,6,9,9,9,9,4,2
3,8,6,9,9,9,9,4,2
3,7,6,9,9,9,9,4,2
3,7,6,9,9,9,9,4,2
3,7,6,9,9,9,9,4,1
2,7,6,9,9,9,9,4,2
2,6,5,9,9,8,9,3,1
4,8,7,9,9,9,9,4,2
3,8,6,9,9,9,9,4,1
3,7,6,9,9,9,9,4,2
3,8,6,9,9,9,9,4,1
3,7,6,9,9,9,9,4,2
3,7,6,9,9,9,9,4,2
2,6,4,9,9,8,9,3,1
3,8,6,9,9,9,9,4,1
3,7,6,9,9,9,9,4,3
2,6,4,9,9,8,9,3,1
3,8,6,9,9,9,9,4,2
2,6,5,9,9,8,9,3,1
3,7,5,9,9,8,9,3,1
3,8,6,9,9,9,9,4,2
3,8,7,9,9,9,9,4,2
2,6,5,9,9,8,9,3,1
3,8,6,9,9,9,9,4,1
2,7,6,9,9,9,9,4,1
2,7,5,9,9,8,9,4,1
4,8,7,9,9,9,9,4,2
2,7,6,9,9,9,9,4,2
2,7,6,9,9,9,9,4,2
2,7,6,9,9,9,9,4,2
2,6,5,9,9,8,9,3,1
2,6,5,9,9,8,9,3,1
3,7,5,9,9,8,9,3,1
2,6,5,9,9,8,9,3,1
3,7,6,9,9,9,9,4,1
2,7,5,9,9,8,9,4,1
2,6,5,9,9,8,9,3,1
2,6,5,9,9,8,9,3,1
3,8,7,9,9,9,9,4,2
2,7,6,9,9,9,9,4,2
3,8,7,9,9,9,9,4,2
3,8,6,9,9,9,9,4,2
2,6,5,9,9,8,9,3,1
3,8,6,9,9,9,9,4,2
3,8,6,9,9,9,9,4,2
4,8,7,9,9,9,9,4,2
3,7,6,9,9,9,9,3,1
3,7,6,9,9,9,9,4,2
2,6,4,9,9,8,9,3,1
3,7,6,9,9,9,9,4,2
4,8,6,9,9,9,9,4,2
2,6,5,9,9,8,9,3,1
2,6,5,9,9,8,9,3,1
4,8,7,9,9,9,9,4,2
2,6,5,9,9,8,9,3,1
4,8,7,9,9,9,9,4,2
3,8,6,9,9,9,9,4,2
3,8,7,9,9,9,9,4,2
2,7,5,9,9,8,9,3,1
2,7,6,9,9,9,9,4,2
3,8,6,9,9,9,9,4,2
3,8,6,9,9,9,9,4,2
4,8,7,9,9,9,9,4,2
4,8,7,9,9,9,9,4,2
3,8,6,9,9,9,9,4,2
3,7,6,9,9,9,9,4,2
3,8,6,9,9,9,9,4,2
4,8,7,9,9,9,9,4,2
3,7,6,9,9,9,9,4,1
3,8,6,9,9,9,9,4,1
3,8,6,9,9,9,9,4,2
3,8,6,9,9,9,9,4,2
3,8,6,9,9,9,9,4,2
3,7,6,9,9,9,9,4,2
3,8,6,9,9,9,9,4,2
3,8,6,9,9,9,9,4,2
3,8,6,9,9,9,9,4,1
4,8,7,9,9,9,9,4,2
2,7,6,9,9,9,9,4,2
3,8,7,9,9,9,9,4,2
3,8,6,9,9,9,9,4,2
2,7,5,9,9,8,9,3,1
2,6,5,9,9,8,9,3,1
3,8,6,9,9,9,9,4,1
4,8,7,9,9,9,9,4,2
3,8,6,9,9,9,9,4,2
3,7,6,9,9,9,9,4,2
3,7,6,9,9,9,9,4,1
3,8,7,9,9,9,9,4,2
2,5,4,9,9,8,9,3,1
3,7,6,9,9,9,9,4,1
2,7,5,9,9,8,9,3,1
2,6,5,9,9,8,9,3,1
3,7,6,9,9,9,9,4,1
3,7,6,9,9,9,9,4,2
2,6,4,9,9,8,9,3,1
4,8,7,9,9,9,9,4,2
3,8,6,9,9,9,9,4,2
3,8,6,9,9,9,9,4,2
2,7,5,9,9,9,9,3,1
2,7,5,9,9,8,9,4,1
2,6,5,9,9,8,9,3,1
2,7,6,9,9,9,9,4,2
3,7,5,9,9,9,9,3,1
3,8,7,9,9,9,9,4,2
3,8,7,9,9,9,9,4,2
4,8,7,9,9,9,9,4,2
2,7,6,9,9,9,9,3,1
3,8,6,9,9,9,9,4,2
3,8,6,9,9,9,9,4,2
4,8,7,9,9,9,9,4,2
2,6,5,9,9,8,9,3,1
2,7,6,9,9,9,9,4,2
3,8,6,9,9,9,9,4,2
3,8,6,9,9,9,9,4,2
2,5,4,9,9,8,9,3,1
2,5,4,9,9,8,9,3,1
3,8,6,9,9,9,9,4,2
4,8,7,9,9,9,9,4,2
3,8,7,9,9,9,9,4,2
2,6,5,9,9,8,9,3,1
3,8,7,9,9,9,9,4,2
4,8,7,9,9,9,9,4,2
3,7,6,9,9,9,9,4,1
2,6,5,9,9,8,9,3,1
3,7,6,9,9,9,9,4,2
2,6,5,9,9,8,9,3,1
2,6,5,9,9,8,9,3,1
4,8,7,9,9,9,9,4,2
3,7,5,9,9,9,9,3,1
2,7,6,9,9,9,9,4,1
3,7,6,9,9,9,9,3,1
2,6,5,9,9,8,9,3,1
3,8,6,9,9,9,9,4,2
3,7,6,9,9,9,9,4,2
3,7,6,9,9,9,9,4,1
2,6,5,9,9,8,9,3,1
2,6,5,9,9,8,9,3,1
4,8,7,9,9,9,9,4,2
3,8,6,9,9,9,9,4,2
3,7,6,9,9,9,9,4,2
3,7,6,9,9,9,9,4,1
3,8,6,9,9,9,9,4,2
3,7,6,9,9,9,9,4,2
2,5,4,9,9,8,9,3,1
4,8,7,9,9,9,9,4,2
2,5,4,9,9,8,9,3,1
3,8,6,9,9,9,9,4,2
3,7,6,9,9,9,9,4,1
2,6,5,9,9,8,9,3,1
3,7,6,9,9,9,9,4,3
3,8,6,9,9,9,9,4,1
2,6,5,9,9,8,9,3,1
2,7,6,9,9,9,9,4,2
2,6,5,9,9,8,9,4,2
3,7,6,9,9,9,9,4,2
3,8,6,9,9,9,9,4,2
2,7,6,9,9,9,9,4,1
3,8,6,9,9,9,9,4,2
2,5,5,9,9,8,9,3,1
3,7,6,9,9,9,9,4,2
3,8,6,9,9,9,9,4,2
4,8,7,9,9,9,9,4,2
3,7,6,9,9,9,9,4,2
2,7,6,9,9,9,9,4,2
3,7,6,9,9,9,9,3,1
2,6,5,9,9,8,9,3,1
2,7,5,9,9,8,9,3,1
2,5,4,9,9,8,9,3,1
2,7,6,9,9,9,9,4,2
2,6,5,9,9,8,9,3,1
2,5,4,9,9,8,9,3,1
2,5,4,9,9,8,9,3,1
2,7,5,9,9,8,9,3,1
3,8,6,9,9,9,9,4,2
3,8,7,9,9,9,9,4,2
4,8,7,9,9,9,9,4,2
4,8,7,9,9,9,9,4,2
2,6,5,9,9,8,9,3,1
2,7,5,9,9,8,9,4,1
3,7,6,9,9,9,9,4,1
3,8,6,9,9,9,9,4,2
3,8,6,9,9,9,9,4,1
2,6,5,9,9,8,9,4,2
3,7,6,9,9,9,9,4,2
2,7,6,9,9,9,9,4,2
3,7,6,9,9,9,9,4,2
3,7,6,9,9,9,9,4,2
2,7,6,9,9,9,9,4,2
4,8,7,9,9,9,9,4,2
3,7,5,9,9,8,9,3,1
2,6,5,9,9,8,9,3,1
2,6,5,9,9,8,9,3,1
2,6,5,9,9,8,9,3,1
4,8,7,9,9,9,9,4,2
2,6,5,9,9,8,9,3,1
3,8,6,9,9,9,9,4,2
2,6,5,9,9,8,9,3,1
2,7,6,9,9,9,9,4,2
2,7,6,9,9,9,9,4,2
2,7,5,9,9,9,9,3,1
3,7,6,9,9,9,9,4,2
2,6,5,9,9,8,9,3,1
4,8,7,9,9,9,9,4,2
2,7,6,9,9,9,9,4,2
3,8,7,9,9,9,9,4,2
3,8,6,9,9,9,9,4,2
3,8,7,9,9,9,9,4,2
2,7,5,9,9,8,9,3,1
3,7,6,9,9,9,9,4,1
3,7,6,9,9,9,9,4,2
2,7,5,9,9,9,9,3,1
2,6,5,9,9,8,9,3,1
2,7,5,9,9,8,9,3,1
2,6,4,9,9,8,9,3,1
3,7,6,9,9,9,9,4,2
3,7,6,9,9,9,9,4,1
3,8,7,9,9,9,9,4,2
3,8,6,9,9,9,9,4,2
3,8,6,9,9,9,9,4,2
3,8,6,9,9,9,9,4,1
2,6,5,9,9,8,9,3,1
2,5,4,9,9,8,9,3,1
3,8,7,9,9,9,9,4,2
2,6,5,9,9,8,9,3,1
3,7,5,9,9,8,9,3,1
3,8,6,9,9,9,9,4,1
3,7,6,9,9,9,9,3,1
3,7,5,9,9,9,9,3,1
2,6,5,9,9,8,9,3,1
3,8,6,9,9,9,9,4,2
3,7,5,9,9,9,9,3,1
4,8,7,9,9,9,9,4,2
3,7,6,9,9,9,9,3,1
4,8,7,9,9,9,9,4,2
3,7,6,9,9,9,9,4,1
3,7,5,9,9,9,9,3,1
3,7,5,9,9,8,9,3,1
3,8,7,9,9,9,9,4,2
2,6,5,9,9,8,9,3,1
2,6,5,9,9,8,9,3,1
4,8,6,9,9,9,9,4,2
3,7,5,9,9,9,9,3,1
3,7,6,9,9,9,9,4,2
2,7,5,9,9,8,9,4,1
3,7,6,9,9,9,9,4,1
2,7,6,9,9,9,9,4,2
3,8,6,9,9,9,9,4,1
3,7,6,9,9,9,9,4,2
2,6,5,9,9,8,9,3,1
2,7,6,9,9,9,9,4,2
2,7,6,9,9,9,9,4,1
2,5,4,9,9,8,9,3,1
2,7,6,9,9,9,9,4,2
3,7,6,9,9,9,9,4,2
2,6,5,9,9,8,9,3,1
4,8,7,9,9,9,9,4,2
2,6,5,9,9,8,9,3,1
2,7,5,9,9,8,9,3,1
2,6,5,9,9,8,9,3,1
2,6,5,9,9,8,9,3,1
2,6,5,9,9,8,9,3,1
4,8,7,9,9,9,9,4,2
3,8,6,9,9,9,9,4,2
3,8,6,9,9,9,9,4,2
3,8,6,9,9,9,9,4,1
2,7,6,9,9,9,9,4,2
4,8,7,9,9,9,9,4,2
4,8,7,9,9,9,9,4,2
3,7,5,9,9,9,9,3,1
2,7,5,9,9,8,9,3,1
2,6,4,9,9,8,9,3,1
4,8,7,9,9,9,9,4,2
3,7,5,9,9,9,9,3,1
2,7,6,9,9,9,9,4,2
3,7,6,9,9,9,9,4,2
2,7,6,9,9,9,9,4,2
3,7,6,9,9,9,9,4,1
3,8,6,9,9,9,9,4,2
2,7,5,9,9,8,9,3,1
2,6,5,9,9,8,9,3,1
2,6,5,9,9,8,9,3,1
2,7,5,9,9,8,9,3,1
2,6,5,9,9,8,9,3,1
2,7,5,9,9,8,9,3,1
2,6,5,9,9,8,9,3,1
2,6,5,9,9,8,9,3,1
2,5,4,9,9,8,9,3,1
2,5,4,9,9,8,9,3,1
2,7,6,9,9,9,9,4,2
4,8,7,9,9,9,9,4,2
3,7,6,9,9,9,9,4,1
2,7,6,9,9,9,9,4,2
3,8,7,9,9,9,9,4,2
4,8,7,9,9,9,9,4,2
3,8,6,9,9,9,9,4,2
2,7,6,9,9,9,9,4,2
2,7,6,9,9,9,9,4,2
3,8,6,9,9,9,9,4,1
2,6,5,9,9,8,9,3,1
2,7,6,9,9,9,9,4,2
3,8,6,9,9,9,9,4,2
2,6,5,9,9,8,9,3,1
2,6,5,9,9,8,9,3,1
4,8,7,9,9,9,9,4,2
2,7,6,9,9,9,9,4,2
2,6,5,9,9,8,9,3,1
3,8,6,9,9,9,9,4,2
3,8,6,9,9,9,9,4,2
2,5,4,9,9,8,9,3,1
3,8,7,9,9,9,9,4,2
3,8,6,9,9,9,9,4,1
2,7,5,9,9,9,9,4,2
2,7,6,9,9,9,9,4,1
3,8,6,9,9,9,9,4,2
3,8,6,9,9,9,9,4,2
2,7,6,9,9,9,9,4,1
2,5,4,9,9,8,9,3,1
2,6,5,9,9,8,9,3,1
2,7,6,9,9,9,9,4,2
2,7,5,9,9,8,9,4,1
2,7,5,9,9,8,9,3,1
3,7,6,9,9,9,9,4,2
2,7,5,9,9,8,9,3,1
3,8,6,9,9,9,9,4,2
2,7,6,9,9,9,9,4,1
2,6,5,9,9,8,9,3,1
3,8,6,9,9,9,9,4,2
3,8,7,9,9,9,9,4,2
2,7,6,9,9,9,9,4,2
3,8,7,9,9,9,9,4,2
2,6,5,9,9,8,9,3,1
3,8,7,9,9,9,9,4,2
3,7,6,9,9,9,9,4,2
3,7,6,9,9,9,9,4,2
2,6,5,9,9,8,9,3,1
2,6,5,9,9,8,9,3,1
3,7,6,9,9,9,9,4,1
2,7,5,9,9,8,9,3,1
3,8,6,9,9,9,9,4,1
2,7,5,9,9,9,9,3,1
4,8,7,9,9,9,9,4,2
2,6,5,9,9,8,9,3,1
2,7,5,9,9,8,9,3,1
3,8,6,9,9,9,9,4,2
2,6,5,9,9,8,9,3,1
4,8,7,9,9,9,9,4,2
2,7,6,9,9,9,9,4,2
2,5,4,9,9,8,9,3,1
2,7,5,9,9,8,9,3,1
2,7,5,9,9,8,9,3,1
3,8,6,9,9,9,9,4,2
3,7,6,9,9,9,9,4,2
2,7,6,9,9,9,9,4,3
2,6,5,9,9,8,9,4,2
4,8,7,9,9,9,9,4,2
2,6,5,9,9,8,9,3,1
3,8,6,9,9,9,9,4,2
3,8,6,9,9,9,9,4,2
2,6,5,9,9,8,9,3,1
2,6,5,9,9,8,9,3,1
3,8,7,9,9,9,9,4,2
3,8,6,9,9,9,9,4,2
3,7,6,9,9,9,9,4,1
4,8,7,9,9,9,9,4,2
2,6,5,9,9,8,9,3,1
2,6,5,9,9,8,9,3,1
4,8,7,9,9,9,9,4,2
2,6,5,9,9,8,9,3,1
2,5,4,9,9,8,9,3,1
2,7,6,9,9,9,9,4,2
3,7,6,9,9,9,9,3,1
2,7,5,9,9,9,9,3,1
2,7,5,9,9,8,9,4,1
2,6,5,9,9,8,9,3,1
3,8,7,9,9,9,9,4,2
2,6,4,9,9,8,9,3,1
3,7,6,9,9,9,9,4,3
2,7,5,9,9,8,9,3,1
3,8,6,9,9,9,9,4,1
3,7,6,9,9,9,9,4,1
2,6,5,9,9,8,9,3,1
3,8,6,9,9,9,9,4,1
2,7,6,9,9,9,9,4,2
2,7,5,9,9,8,9,3,1
2,7,6,9,9,9,9,4,2
2,6,5,9,9,8,9,3,1
3,8,6,9,9,9,9,4,2
4,8,7,9,9,9,9,4,2
2,7,5,9,9,8,9,3,1
3,8,6,9,9,9,9,4,2
3,7,6,9,9,9,9,4,2
3,7,6,9,9,9,9,4,1
4,8,6,9,9,9,9,4,2
3,7,6,9,9,9,9,4,2
2,6,5,9,9,8,9,3,1
2,5,4,9,9,8,9,3,1
3,8,6,9,9,9,9,4,1
4,8,7,9,9,9,9,4,2
2,7,6,9,9,9,9,4,2
2,6,5,9,9,8,9,3,1
2,7,6,9,9,9,9,4,2
2,7,6,9,9,9,9,4,1
2,5,4,9,9,8,9,3,1
2,7,5,9,9,8,9,3,1
2,6,5,9,9,8,9,3,1
2,6,5,9,9,8,9,3,1
3,7,6,9,9,9,9,4,1
2,6,5,9,9,8,9,3,1
2,7,5,9,9,8,9,3,1
4,8,7,9,9,9,9,4,2
2,6,5,9,9,8,9,3,1
3,7,6,9,9,9,9,4,2
2,7,5,9,9,9,9,3,1
2,6,5,9,9,8,9,3,1
3,7,6,9,9,9,9,4,2
2,7,5,9,9,8,9,3,1
2,7,5,9,9,8,9,3,1
3,7,6,9,9,9,9,4,2
2,6,5,9,9,8,9,3,1
2,5,4,9,9,8,9,3,1
2,7,5,9,9,8,9,3,1
3,7,6,9,9,9,9,4,1
2,7,6,9,9,9,9,4,2
2,6,5,9,9,8,9,3,1
3,8,6,9,9,9,9,4,1
2,6,5,9,9,8,9,3,1
2,6,5,9,9,8,9,3,1
3,7,6,9,9,9,9,4,1
3,8,6,9,9,9,9,4,2
2,6,5,9,9,8,9,3,1
3,7,6,9,9,9,9,3,1
2,7,5,9,9,8,9,3,1
4,8,7,9,9,9,9,4,2
2,6,5,9,9,8,9,3,1
3,8,6,9,9,9,9,4,1
2,7,5,9,9,8,9,3,1
4,8,7,9,9,9,9,4,2
2,5,4,9,9,8,9,3,1
2,7,6,9,9,9,9,4,1
3,7,6,9,9,9,9,4,2
2,6,5,9,9,8,9,3,1
2,6,5,9,9,8,9,3,1
2,7,5,9,9,8,9,3,1
2,7,6,9,9,9,9,4,3
3,8,7,9,9,9,9,4,2
2,7,5,9,9,8,9,3,1
2,6,4,9,9,8,9,3,1
2,6,5,9,9,8,9,3,1
2,6,5,9,9,8,9,3,1
3,7,6,9,9,9,9,4,2
2,7,6,9,9,9,9,4,1
2,6,5,9,9,8,9,3,1
3,7,6,9,9,9,9,4,1
3,7,6,9,9,9,9,4,3
3,8,6,9,9,9,9,4,2
2,7,6,9,9,9,9,4,1
3,7,6,9,9,9,9,4,2
2,7,6,9,9,9,9,4,1
4,8,7,9,9,9,9,4,2
2,7,6,9,9,9,9,4,2
2,7,6,9,9,9,9,4,2
2,6,5,9,9,8,9,3,1
4,8,7,9,9,9,9,4,2
2,6,4,9,9,8,9,3,1
3,8,6,9,9,9,9,4,2
3,8,7,9,9,9,9,4,2
2,7,5,9,9,8,9,3,1
2,6,5,9,9,8,9,3,1
2,6,5,9,9,8,9,3,1
3,7,6,9,9,9,9,4,2
2,6,5,9,9,8,9,3,1
2,5,4,9,9,8,9,3,1
2,7,6,9,9,9,9,4,1
2,7,6,9,9,9,9,4,1
3,7,6,9,9,9,9,4,2
4,8,7,9,9,9,9,4,2
2,5,4,9,9,8,9,3,1
3,7,6,9,9,9,9,4,1
4,8,7,9,9,9,9,4,2
2,6,5,9,9,8,9,3,1
4,8,7,9,9,9,9,4,2
3,7,6,9,9,9,9,4,3
3,7,6,9,9,9,9,4,1
2,7,6,9,9,9,9,4,2
4,8,7,9,9,9,9,4,2
2,7,6,9,9,9,9,4,2
3,7,6,9,9,9,9,4,2
2,6,5,9,9,8,9,3,1
4,8,7,9,9,9,9,4,2
2,7,6,9,9,9,9,4,2
2,6,5,9,9,8,9,3,1
3,8,6,9,9,9,9,4,2
3,7,6,9,9,9,9,4,2
4,8,7,9,9,9,9,4,2
2,6,5,9,9,8,9,3,1
3,8,6,9,9,9,9,4,2
2,7,6,9,9,9,9,4,1
